SpecialDay,Month,OperatingSystems,Browser,Region,VisitorType,Weekend,Revenue
0,Feb,1,1,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,4,1,9,Returning_Visitor,FALSE,FALSE
0,Feb,3,2,2,Returning_Visitor,FALSE,FALSE
0,Feb,3,3,1,Returning_Visitor,TRUE,FALSE
0,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0.4,Feb,2,4,3,Returning_Visitor,FALSE,FALSE
0,Feb,1,2,1,Returning_Visitor,TRUE,FALSE
0.8,Feb,2,2,2,Returning_Visitor,FALSE,FALSE
0.4,Feb,2,4,1,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,3,Returning_Visitor,FALSE,FALSE
0.4,Feb,1,1,4,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,5,1,Returning_Visitor,FALSE,FALSE
0,Feb,3,2,3,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,9,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,4,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,1,Returning_Visitor,TRUE,FALSE
0,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,4,4,Returning_Visitor,FALSE,FALSE
1,Feb,2,2,5,Returning_Visitor,TRUE,FALSE
0,Feb,3,3,1,Returning_Visitor,FALSE,FALSE
0,Feb,3,2,1,Returning_Visitor,FALSE,FALSE
0.8,Feb,2,4,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,2,4,Returning_Visitor,TRUE,FALSE
0,Feb,1,1,9,Returning_Visitor,FALSE,FALSE
0,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,1,Returning_Visitor,FALSE,FALSE
0.2,Feb,2,6,1,Returning_Visitor,FALSE,FALSE
0.4,Feb,3,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,6,Returning_Visitor,FALSE,FALSE
0,Feb,1,2,6,Returning_Visitor,TRUE,FALSE
0,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,3,Returning_Visitor,FALSE,FALSE
0,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,2,7,Returning_Visitor,FALSE,FALSE
0,Feb,3,2,1,Returning_Visitor,TRUE,FALSE
0.8,Feb,2,2,8,Returning_Visitor,FALSE,FALSE
0.6,Feb,2,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,5,1,Returning_Visitor,FALSE,FALSE
0,Feb,2,2,8,Returning_Visitor,FALSE,FALSE
0.6,Feb,1,1,3,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,4,Returning_Visitor,FALSE,FALSE
0.4,Feb,3,2,2,Returning_Visitor,FALSE,FALSE
0,Feb,4,1,1,Returning_Visitor,FALSE,FALSE
0.2,Feb,2,5,1,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,1,Returning_Visitor,FALSE,FALSE
0.2,Feb,3,2,1,Returning_Visitor,FALSE,FALSE
0,Feb,3,2,1,Returning_Visitor,FALSE,FALSE
0.6,Feb,2,2,3,Returning_Visitor,FALSE,FALSE
0,Feb,1,1,3,Returning_Visitor,TRUE,FALSE
0.2,Feb,3,2,1,Returning_Visitor,FALSE,FALSE
1,Feb,2,4,4,Returning_Visitor,TRUE,FALSE
0,Feb,4,2,2,Returning_Visitor,FALSE,FALSE
0.4,Feb,3,3,1,Returning_Visitor,FALSE,FALSE
0.2,Feb,2,4,1,Returning_Visitor,FALSE,FALSE
0.6,Feb,3,2,3,Returning_Visitor,FALSE,FALSE
0.2,Feb,2,2,4,Returning_Visitor,FALSE,FALSE
0.4,Feb,2,6,6,Returning_Visitor,FALSE,FALSE
0.6,Feb,2,4,2,Returning_Visitor,FALSE,FALSE
